frame,distance_m,ego_speed_mps
0,25.018,0.490
1,25.018,0.980
2,25.018,1.470
3,25.018,1.960
4,25.018,2.450
5,25.018,2.940
6,25.018,3.430
7,25.017,3.457
8,25.017,1.323
9,25.017,0.122
10,25.018,0.241
11,25.018,0.255
12,25.015,0.320
13,24.985,0.854
14,24.932,1.232
15,24.861,1.520
16,24.776,1.821
17,24.674,2.146
18,24.557,2.471
19,24.424,2.802
20,24.272,3.197
21,24.100,3.572
22,23.911,3.927
23,23.704,4.274
24,23.480,4.620
25,23.239,4.930
26,22.987,5.112
27,22.731,5.111
28,22.508,3.969
29,22.312,3.957
30,22.113,4.003
31,21.912,4.026
32,21.712,3.978
33,21.517,3.885
34,21.325,3.829
35,21.134,3.840
36,20.938,3.981
37,20.733,4.213
38,20.514,4.494
39,20.282,4.763
40,20.038,4.918
41,19.793,4.907
42,19.551,4.796
43,19.317,4.634
44,19.091,4.449
45,18.875,4.254
46,18.669,4.058
47,18.472,3.865
48,18.284,3.704
49,18.103,3.611
50,17.924,3.593
51,17.741,3.706
52,17.550,3.928
53,17.345,4.207
54,17.127,4.473
55,16.899,4.626
56,16.668,4.616
57,16.441,4.510
58,16.220,4.356
59,16.008,4.179
60,15.806,3.994
61,15.612,3.834
62,15.424,3.742
63,15.238,3.728
64,15.049,3.849
65,14.850,4.073
66,14.640,4.311
67,14.420,4.446
68,14.199,4.429
69,13.981,4.322
70,13.770,4.170
71,13.568,3.998
72,13.374,3.846
73,13.185,3.752
74,12.999,3.747
75,12.809,3.864
76,12.610,4.091
77,12.399,4.330
78,12.179,4.467
79,11.956,4.450
80,11.738,4.342
81,11.527,4.191
82,11.323,4.020
83,11.129,3.845
84,10.942,3.695
85,10.762,3.597
86,10.584,3.584
87,10.403,3.691
88,10.213,3.913
89,10.011,4.193
90,9.794,4.460
91,9.567,4.614
92,9.338,4.605
93,9.113,4.499
94,8.894,4.345
95,8.684,4.169
96,8.484,3.984
97,8.291,3.826
98,8.105,3.728
99,7.921,3.720
100,7.735,3.835
101,7.539,4.060
102,7.331,4.299
103,7.114,4.436
104,6.895,4.419
105,6.681,4.287
106,6.476,4.070
107,6.284,3.802
108,6.106,3.529
109,5.941,3.269
110,5.788,3.015
111,5.648,2.768
112,5.520,2.528
113,5.403,2.296
114,5.300,1.897
115,5.241,0.715
116,5.235,0.001
117,5.235,0.001
118,5.234,0.001
119,5.234,0.001
120,5.234,0.001
121,5.234,0.001
122,5.234,0.001
123,5.234,0.000
124,5.233,0.000
125,5.233,0.000
126,5.233,0.000
127,5.233,0.000
128,5.233,0.000
129,5.233,0.000
130,5.233,0.000
131,5.233,0.000
132,5.233,0.000
133,5.233,0.000
134,5.233,0.000
135,5.233,0.000
136,5.233,0.000
137,5.233,0.000
138,5.233,0.000
139,5.233,0.000
140,5.233,0.000
141,5.233,0.000
142,5.233,0.000
143,5.233,0.000
144,5.233,0.000
145,5.233,0.000
146,5.233,0.000
147,5.233,0.000
148,5.233,0.000
149,5.233,0.000
150,5.233,0.000
151,5.233,0.000
152,5.233,0.000
153,5.233,0.000
154,5.233,0.000
155,5.233,0.000
156,5.233,0.000
157,5.233,0.000
158,5.233,0.000
159,5.233,0.000
