frame,x,y,z,yaw,speed_mps
0,-184.499,106.221,0.084,-90.618,0.169
1,-184.499,106.211,0.086,-90.590,0.252
2,-184.498,106.192,0.087,-90.582,0.489
3,-184.498,106.166,0.087,-90.552,0.589
4,-184.497,106.132,0.088,-90.503,0.736
5,-184.497,106.092,0.088,-90.478,0.871
6,-184.496,106.044,0.088,-90.434,1.025
7,-184.495,105.987,0.088,-90.394,1.194
8,-184.493,105.923,0.088,-90.326,1.357
9,-184.492,105.851,0.088,-90.255,1.475
10,-184.491,105.772,0.088,-90.177,1.669
11,-184.489,105.684,0.088,-90.101,1.819
12,-184.487,105.587,0.088,-90.023,2.031
13,-184.485,105.480,0.088,-89.934,2.200
14,-184.483,105.363,0.088,-89.841,2.439
15,-184.480,105.235,0.088,-89.744,2.664
16,-184.477,105.093,0.088,-89.642,2.930
17,-184.473,104.939,0.088,-89.540,3.192
18,-184.469,104.770,0.088,-89.435,3.497
19,-184.465,104.587,0.088,-89.330,3.781
20,-184.460,104.390,0.088,-89.225,4.051
21,-184.455,104.179,0.088,-89.123,4.312
22,-184.449,103.956,0.088,-89.024,4.571
23,-184.438,103.721,0.088,-88.745,4.814
24,-184.422,103.473,0.088,-88.277,5.075
25,-184.403,103.212,0.088,-87.798,5.330
26,-184.383,102.948,0.088,-87.347,5.247
27,-184.362,102.686,0.089,-86.930,5.304
28,-184.337,102.423,0.089,-86.398,5.274
29,-184.303,102.158,0.089,-85.609,5.429
30,-184.264,101.887,0.089,-84.730,5.527
31,-184.220,101.612,0.089,-83.868,5.640
32,-184.171,101.340,0.089,-82.854,5.473
33,-184.109,101.065,0.089,-81.586,5.901
34,-184.033,100.760,0.089,-80.106,6.589
35,-183.937,100.428,0.088,-78.329,7.125
36,-183.820,100.079,0.088,-76.210,7.569
37,-183.687,99.717,0.087,-74.087,7.905
38,-183.534,99.347,0.086,-71.812,8.176
39,-183.362,98.970,0.086,-69.506,8.432
40,-183.172,98.592,0.086,-67.050,8.531
41,-182.962,98.224,0.086,-64.343,8.540
42,-182.734,97.870,0.087,-61.305,8.489
43,-182.489,97.528,0.086,-58.233,8.477
44,-182.228,97.202,0.086,-55.067,8.401
45,-181.950,96.896,0.086,-51.743,8.322
46,-181.656,96.612,0.086,-48.200,8.241
47,-181.347,96.346,0.084,-44.754,8.275
48,-181.023,96.099,0.081,-41.305,8.285
49,-180.681,95.877,0.077,-37.689,8.256
50,-180.324,95.688,0.071,-33.659,8.207
51,-179.954,95.532,0.065,-29.298,8.231
52,-179.569,95.400,0.060,-24.892,8.331
53,-179.171,95.288,0.058,-20.795,8.466
54,-178.760,95.191,0.056,-17.054,8.583
55,-178.338,95.108,0.053,-13.767,8.675
56,-177.910,95.039,0.046,-10.884,8.671
57,-177.480,94.987,0.038,-8.471,8.631
58,-177.052,94.947,0.032,-6.456,8.538
59,-176.629,94.917,0.030,-4.909,8.451
60,-176.211,94.895,0.030,-3.642,8.362
61,-175.795,94.878,0.031,-2.694,8.306
62,-175.381,94.865,0.032,-1.912,8.273
63,-174.968,94.857,0.032,-1.359,8.279
64,-174.553,94.850,0.033,-0.897,8.310
65,-174.136,94.847,0.033,-0.593,8.365
